C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Al,Ti,Th,I,U,Ve,Strain,TCL
0.06,0.39,0.87,0.01,0.003,19.94,33.95,0,0.02,0.05,0.19,0.42,6.5,170,14,2.55,2,13.03
0.07,0.15,0.81,0.008,0.003,20.42,32.83,0,0.017,0.04,0.47,0.44,6.5,170,14,2.55,2,9.17
0.06,0.39,0.87,0.01,0.003,19.94,33.95,0,0.02,0.05,0.19,0.42,6.5,170,14,2.55,3,14.21
0.08,0.08,0.93,0.008,0.004,19.55,32.47,0,0.018,0.05,0.4,0.49,6.5,170,14,2.55,3,8.94
0.05,0.26,0.63,0.008,0.004,19.88,31.88,0,0.019,0.05,0.3,0.42,6.5,170,14,2.55,3,11.05
0.017,0.35,2.99,0.007,0.004,24.9,9.6,0,0.297,0,0.02,0,5,70,16,1.25,2.4,0.1
0.016,0.35,2.69,0.006,0.003,25,11.3,0,0.336,0,0.02,0,5,70,16,1.25,2.4,0.6
0.014,0.33,2.39,0.005,0.003,25.5,12.5,0,0.345,0,0.02,0,5,70,16,1.25,2.4,0.8
0.016,0.35,2.63,0.007,0.002,24.5,14.3,0,0.313,0,0.02,0,5,70,16,1.25,2.4,1.4
0.016,0.35,2.37,0.004,0.002,24.99,13.3,0,0.229,0,0.02,0,5,70,16,1.25,2.4,0.5
0.013,0.33,2.39,0.002,0.002,25.7,14.1,0,0.167,0,0.02,0,5,70,16,1.25,2.4,0.1
0.014,0.32,2.53,0.004,0.001,24.1,17.7,0,0.242,0,0.02,0,5,70,16,1.25,2.4,1.4
0.011,0.31,2.64,0.003,0.002,25,22.7,0,0.068,0,0.02,0,5,70,16,1.25,2.4,1.3
0.012,0.3,2.66,0.004,0.002,25,22,0,0.164,0,0.02,0,5,70,16,1.25,2.4,1.3
0.012,0.3,2.66,0.004,0.002,25,23,0,0.245,0,0.02,0,5,70,16,1.25,2.4,1.5
0.08,1.05,0.6,0.035,0.016,18.32,13.2,2.26,0.04,0,0.02,0,12.7,330,14,1.69,0.25,0
0.05,0.83,0.26,0.021,0.017,17.65,12.03,2.05,0.06,0,0.02,0,12.7,300,15,1.69,0.25,0
0.07,0.99,0.57,0.024,0.019,18.21,9.57,2.39,0.06,0,0.02,0,12.7,305,14.5,1.69,0.25,0
0.1,0.69,0.3,0.046,0.032,20.31,10.62,2.34,0.05,0,0.02,0,12.7,310,14.5,1.69,0.25,0
0.06,1.08,0.44,0.021,0.008,21.1,9.55,2.52,0.05,0,0.02,0,12.7,330,14,1.69,0.25,0
0.47,1.33,0.42,0.013,0.013,26.95,20.51,0.07,0.06,0,0.02,0,12.7,330,13.5,1.69,0.25,0
0.47,0.61,0.99,0.033,0.015,24.48,19.53,0,0.06,0,0.02,0,12.7,325,14.5,1.69,0.25,0
0.46,1.71,0.98,0.033,0.016,24.07,19.12,0,0.06,0,0.02,0,12.7,325,14,1.69,0.25,0
0.38,1.41,0.92,0.029,0.016,24.95,21.82,0.12,0.06,0,0.02,0,12.7,325,14,1.69,0.25,0
0.08,1.05,0.6,0.035,0.016,18.32,13.2,2.26,0.04,0,0.02,0,12.7,330,14,1.69,0.5,3.33
0.04,0.38,0.21,0.036,0.025,19.55,15.38,2.88,0.04,0,0.02,0,12.7,310,14.5,1.69,0.5,0.75
0.06,0.6,1.17,0.027,0.016,18.18,12.08,2.48,0.05,0,0.02,0,12.7,325,14.5,1.69,0.5,0
0.07,0.99,0.57,0.024,0.019,18.21,9.57,2.39,0.06,0,0.02,0,12.7,305,14.5,1.69,0.5,0
0.1,0.69,0.3,0.046,0.032,20.31,10.62,2.34,0.05,0,0.02,0,12.7,310,14.5,1.69,0.5,0.54
0.44,1.91,0.4,0.013,0.012,26.44,20.18,0.08,0.06,0,0.02,0,12.7,330,13.5,1.69,0.5,0
0.47,0.61,0.99,0.033,0.015,24.48,19.53,0,0.06,0,0.02,0,12.7,325,14.5,1.69,0.5,0.79
0.46,1.71,0.98,0.033,0.016,24.07,19.12,0,0.06,0,0.02,0,12.7,325,14,1.69,0.5,2.11
0.38,0.77,1.2,0.024,0.012,24.38,21.88,0.04,0.06,0,0.02,0,12.7,325,14,1.69,0.5,2.28
